mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1854093074798584,0.027990781371994847,0.01163496971130371,0.0018270645002578729,0.01,linear,0.001,"{'C': 0.01, 'kernel': 'linear', 'tol': 0.001}",0.5859375,0.59375,0.578125,0.5546875,0.6,0.5825,0.01573089118581652,25
0.09359760284423828,0.010690762916024166,0.012331008911132812,0.001035809718584306,0.01,linear,0.01,"{'C': 0.01, 'kernel': 'linear', 'tol': 0.01}",0.5859375,0.59375,0.578125,0.5546875,0.596078431372549,0.5817156862745099,0.014915446664039678,27
0.5088202953338623,0.11534553924376971,0.010735464096069337,0.0014182583668418205,0.01,linear,0.0001,"{'C': 0.01, 'kernel': 'linear', 'tol': 0.0001}",0.5859375,0.59375,0.578125,0.5546875,0.6,0.5825,0.01573089118581652,25
0.05828227996826172,0.00693091353359516,0.030264663696289062,0.002617850817793017,0.01,rbf,0.001,"{'C': 0.01, 'kernel': 'rbf', 'tol': 0.001}",0.4296875,0.4296875,0.4296875,0.42578125,0.42745098039215684,0.4284589460784313,0.0015946212922044276,40
0.051132822036743165,0.0005369994676911705,0.028791332244873048,0.0009481546720302288,0.01,rbf,0.01,"{'C': 0.01, 'kernel': 'rbf', 'tol': 0.01}",0.4296875,0.4296875,0.4296875,0.42578125,0.42745098039215684,0.4284589460784313,0.0015946212922044276,40
0.05757560729980469,0.002414872839067025,0.029050111770629883,0.0007823378771738831,0.01,rbf,0.0001,"{'C': 0.01, 'kernel': 'rbf', 'tol': 0.0001}",0.4296875,0.4296875,0.4296875,0.42578125,0.42745098039215684,0.4284589460784313,0.0015946212922044276,40
0.3366858005523682,0.018826797917988546,0.0092987060546875,0.0019153592964492113,0.05,linear,0.001,"{'C': 0.05, 'kernel': 'linear', 'tol': 0.001}",0.59375,0.59375,0.59765625,0.5546875,0.596078431372549,0.5871844362745098,0.01631579696369017,16
0.14476723670959474,0.008792692430493321,0.009612560272216797,0.0014983660479084922,0.05,linear,0.01,"{'C': 0.05, 'kernel': 'linear', 'tol': 0.01}",0.59375,0.59375,0.59765625,0.5546875,0.596078431372549,0.5871844362745098,0.01631579696369017,16
1.427872896194458,0.43129152778249874,0.010064935684204102,0.001782908715042848,0.05,linear,0.0001,"{'C': 0.05, 'kernel': 'linear', 'tol': 0.0001}",0.59375,0.59375,0.59765625,0.5546875,0.596078431372549,0.5871844362745098,0.01631579696369017,16
0.05699143409729004,0.001267667783473558,0.02860713005065918,0.0004950812859872358,0.05,rbf,0.001,"{'C': 0.05, 'kernel': 'rbf', 'tol': 0.001}",0.48046875,0.5,0.46875,0.48828125,0.5137254901960784,0.4902450980392157,0.015543229059143885,37
0.053600502014160153,0.0010193643538000442,0.029399871826171875,0.0010185283109852192,0.05,rbf,0.01,"{'C': 0.05, 'kernel': 'rbf', 'tol': 0.01}",0.48046875,0.5,0.46875,0.48828125,0.5137254901960784,0.4902450980392157,0.015543229059143885,37
0.06837992668151856,0.007074238106882235,0.030403709411621092,0.0011841040294609437,0.05,rbf,0.0001,"{'C': 0.05, 'kernel': 'rbf', 'tol': 0.0001}",0.48046875,0.5,0.46875,0.48828125,0.5137254901960784,0.4902450980392157,0.015543229059143885,37
0.49388427734375,0.09128921143973139,0.010397005081176757,0.0007995761445986525,0.1,linear,0.001,"{'C': 0.1, 'kernel': 'linear', 'tol': 0.001}",0.609375,0.58984375,0.58984375,0.5546875,0.6039215686274509,0.5895343137254903,0.019053282467294146,8
0.19199047088623047,0.010489021047502206,0.010008764266967774,0.0006415800886884917,0.1,linear,0.01,"{'C': 0.1, 'kernel': 'linear', 'tol': 0.01}",0.609375,0.58984375,0.58984375,0.5546875,0.6039215686274509,0.5895343137254903,0.019053282467294146,8
3.02740216255188,0.646171021612773,0.00959606170654297,0.0004910438726053315,0.1,linear,0.0001,"{'C': 0.1, 'kernel': 'linear', 'tol': 0.0001}",0.609375,0.58984375,0.58984375,0.5546875,0.6039215686274509,0.5895343137254903,0.019053282467294146,8
0.05735340118408203,0.0010003075834692273,0.028614234924316407,0.0017515612048315651,0.1,rbf,0.001,"{'C': 0.1, 'kernel': 'rbf', 'tol': 0.001}",0.48046875,0.50390625,0.4765625,0.4921875,0.5098039215686274,0.49258578431372546,0.012871239140314364,34
0.05339655876159668,0.0013522024390850808,0.028402948379516603,0.0013560533554998278,0.1,rbf,0.01,"{'C': 0.1, 'kernel': 'rbf', 'tol': 0.01}",0.48046875,0.50390625,0.4765625,0.4921875,0.5098039215686274,0.49258578431372546,0.012871239140314364,34
0.06578264236450196,0.0011556929828903742,0.02881765365600586,0.001942477532416471,0.1,rbf,0.0001,"{'C': 0.1, 'kernel': 'rbf', 'tol': 0.0001}",0.48046875,0.50390625,0.4765625,0.4921875,0.5098039215686274,0.49258578431372546,0.012871239140314364,34
3.687998867034912,0.4474283816371745,0.009207820892333985,0.0009784662189007336,1,linear,0.001,"{'C': 1, 'kernel': 'linear', 'tol': 0.001}",0.62109375,0.58203125,0.5859375,0.55859375,0.6039215686274509,0.5903155637254902,0.021102089383101853,6
0.8427688121795655,0.113486108112825,0.00958256721496582,0.0010273045781515008,1,linear,0.01,"{'C': 1, 'kernel': 'linear', 'tol': 0.01}",0.625,0.58203125,0.5859375,0.55859375,0.6039215686274509,0.5910968137254902,0.022267251708200132,5
